1,A,2,2
2,B,1,1
3,C,1,1
4,D,2,1
5,E,2,2
6,F,0,0
7,G,1,0
8,H,0,0
9,I,1,1
10,J,1,1
11,K,1,1
12,L,3,3
13,M,1,1
14,N,1,1
15,O,0,0
16,P,2,1
17,Q,0,0
18,R,0,0
19,S,2,1
20,T,0,0
21,U,1,1
22,V,2,2
23,W,1,1
24,X,1,0
25,Y,3,3
26,Z,1,1
